rest_id,rest_name,address,city,email,postcode,phone,highDishPrice,lowDishPrice,priceRange,rating,region,mostOrderedFood
7088291509,04-07-2020,7:15 AM,Sally Burrass,sburrass0@domainmarket.com,32825,954-803-0247,805,146,183,5,B,Sea Food
3129980008,08-05-2019,9:00 AM,Cleve Sanger,csanger1@toplist.cz,,161-937-4705,641,136,97,5,E,North Indian
1961937077,01-10-2020,3:17 PM,Denise Deverell,ddeverell2@msn.com,,972-215-8785,372,97,175,3,B,Sea Food
1860589715,12/13/2019,8:19 PM,Turner Burcombe,tburcombe3@t-online.de,,965-737-4785,909,199,58,4,B,North Indian
1403544808,09-03-2019,8:48 PM,Marie-ann Taber,mtaber4@google.ru,1136,104-843-3409,378,159,132,10,C,South Indian
3154721169,11-06-2019,4:11 AM,Gabie Perrin,gperrin5@nps.gov,,382-316-1605,521,57,54,2,E,Sea Food
8953259487,12-07-2019,5:51 PM,Adey Yepiskov,ayepiskov6@ucsd.edu,75835-000,983-956-2129,411,104,53,3,E,South Indian
4054633161,10/28/2019,5:45 AM,Rockwell Aherne,raherne7@sbwire.com,174350,748-456-2582,352,134,62,7,C,South Indian
3031086716,4/30/2019,11:48 PM,Eberhard Pett,epett8@ycombinator.com,,168-784-7069,317,131,110,6,E,North Indian
885668898,9/27/2019,5:47 AM,Tudor Michelotti,tmichelotti9@slashdot.org,35805,256-942-2448,751,58,131,2,B,North Indian
524290733,7/24/2019,1:07 AM,Zsazsa Garz,zgarza@jimdo.com,7541,238-726-2733,889,103,187,10,D,Sea Food
6178142781,12/28/2019,1:50 PM,Kermit Lightbourn,klightbournb@buzzfeed.com,,824-756-6174,368,110,83,8,A,Susi
9802430625,11-03-2019,2:40 PM,Jacquie Sicily,jsicilyc@google.ca,,965-429-1856,746,194,179,4,E,Susi
2876428296,03-12-2020,12:48 PM,Kylila Challenor,kchallenord@si.edu,,977-930-8635,852,133,190,5,A,Susi
7069022085,2/27/2020,12:38 PM,Chloris Lesaunier,clesauniere@youtu.be,78940-000,624-882-4377,714,119,135,6,C,North Indian
7052705389,12/13/2019,5:09 PM,Benni Dudmarsh,bdudmarshf@flickr.com,350 02,311-990-3815,565,133,143,6,E,Susi
7493887683,7/28/2019,10:23 PM,Isidoro Pummell,ipummellg@fastcompany.com,10370,664-935-9455,906,116,197,3,C,Continental
